id;x;y;z;identifiant;date
1;152059.7779;6863515.198;;;
2;152063.7083;6863506.068;;;
3;152063.9357;6863488.96;;;
4;152057.5771;6863467.537;;;
5;152045.7074;6863439.607;;;
6;152019.9777;6863407.949;;;
7;151959.6231;6863358.466;;;
8;151885.0617;6863317.661;;;
9;151791.9543;6863278.433;;;
10;151670.1483;6863220.874;;;
11;151617.0797;6863189.891;;;
12;151568.1792;6863144.599;;;
13;151497.3646;6863036.668;;;
14;151393.3409;6862881.891;;;
15;151305.2707;6862758.394;;;
16;151227.4553;6862667.65;;;
17;151118.1207;6862562.882;;;
18;150981.7434;6862468.323;;;
19;150877.0335;6862406.345;;;
20;150812.3509;6862351.186;;;